no, date, value
1, 2015-09-13 00:00:00, 36.6459
2, 2015-09-13 01:15:00,29.0982
3, 2015-09-13 02:30:00,24.5152
4, 2015-09-13 03:45:00,27.8543
5, 2015-09-13 05:00:00,34.8716
6, 2015-09-13 06:15:00,46.6115
7, 2015-09-13 07:30:00,55.0812
8, 2015-09-13 08:45:00,58.0247
9, 2015-09-13 10:00:00,58.9477
10, 2015-09-13 11:15:00,59.3752
12, 2015-09-13 12:30:00,59.2017
13, 2015-09-13 13:45:00,59.1464
14, 2015-09-13 15:00:00,58.9535
15, 2015-09-13 16:15:00,58.3
16, 2015-09-13 17:30:00,57.1744
17, 2015-09-13 18:45:00,55.8229
18, 2015-09-13 20:00:00,52.6507
19, 2015-09-13 21:15:00,48.9364
20, 2015-09-13 22:30:00,44.7103
21, 2015-09-13 23:45:00,38.0827